customer_id,customer_name,email,phone,gender,age,city,state,signup_date,is_premium_member
7925, manish iyer ,manish.iyer@yahoo.com,+91-8177099905,,47.0,Bhopal,Madhya Pradesh,2019-06-04,False
5777, Aisha Shah,aisha.shah@gmail.com,+91-9335062429,Female,65.0,Bhopal,Madhya Pradesh,2023-01-24,False
6843,Manish Gupta,manish.gupta255@outlook.com,+91-8186928299,Male,51.0,Bhopal,Madhya Pradesh,2021-11-21,True
7835, shreya pillai,shreya.pillai676@gmail.com,+91-8762428560,Male,46.0,Chennai,Tamil Nadu,2024-09-05,False
7504,Nisha Khan ,nisha.khan@outlook.com,+91-8644288002,Male,18.0,Jaipur,Rajasthan,2026-03-22,False
7436, Kunal Chopra,kunal.chopra167@outlook.com,+91-7693868326,Male,38.0,Coimbatore,Tamil Nadu,2026-05-27,False
5143,Amit Malhotra ,amit.malhotra238@gmail.com,+91-8417687046,Female,33.0,Hyderabad,Telangana,2022-08-19,False
5740, Meera Malhotra,meera.malhotra971@yahoo.com,+91-9660469980,Female,58.0,Lucknow,Uttar Pradesh,2023-05-24,False
7129,Kavya Gupta,kavya.gupta@outlook.com,+91-7689825086,Other,62.0,Surat,Gujarat,2023-11-23,True
6276, Deepak Verma,deepak.verma@gmail.com,+91-7825616017,,65.0,Nagpur,Maharashtra,2023-01-10,False
5111,KAVYA PATIL,kavya.patil@outlook.com,+91-8336003695,,28.0,Pune,Maharashtra,2022-07-03,False
5477,Harsh Iyer,harsh.iyer@gmail.com,+91-7506107559,,65.0,Nagpur,Maharashtra,2024-05-05,True
6606, Gaurav Bose ,gaurav.bose@gmail.com,+91-8199811749,,31.0,Surat,Gujarat,2022-06-30,False
6388, Arjun Shah ,arjun.shah@yahoo.com,+91-8564755749,Male,47.0,Delhi,Delhi,2020-09-19,False
7374, Ankita Bose ,ankita.bose@outlook.com,+91-9954391881,Female,25.0,Lucknow,Uttar Pradesh,2023-05-01,False
5632, Meera Gupta ,meera.gupta@gmail.com,+91-9662865179,,49.0,Jaipur,Rajasthan,2022-02-16,False
6692, Divya Singh,divya.singh@outlook.com,+91-9692615398,,19.0,Coimbatore,Tamil Nadu,2022-03-14,False
7909, Priya Singh ,priya.singh942@outlook.com,+91-8566036839,Female,49.0,Ranchi,Jharkhand,2019-09-06,False
6467,KUNAL DAS,kunal.das@yahoo.com,+91-8625576304,Male,50.0,Lucknow,Uttar Pradesh,2020-11-06,False
5231,Nikhil Patil,nikhil.patil656@outlook.com,+91-9549470290,Other,58.0,Nashik,Maharashtra,2024-12-17,False
6769,Suresh Gupta ,suresh.gupta@outlook.com,,Male,53.0,Patna,Bihar,2024-05-27,False
6448,Kavya Kulkarni,kavya.kulkarni@outlook.com,+91-8949064337,Male,41.0,Jaipur,Rajasthan,2020-10-25,True
5172, ANJALI PILLAI ,anjali.pillai@outlook.com,+91-7662991074,Male,57.0,Lucknow,Uttar Pradesh,2023-07-02,False
